        Pin Assignment Report - vp_project
        __________________________________

ACE -- Achronix CAD Environment -- Version 9.0.1 -- Date 2023-05-05 18:59

Design: vp_project
Device: AC7t1500
Generated on: 2023-05-05T18:59:00.972515651
Host: simtool-5

Pin Assignment =======
   Port Name                 Direction  Ball Name             Bump Name             Bank                Ball  Pad/Macro Site                                                                                                                Site Polarity  Clock Capable Site  Reset Capable Site  Data Capable Site  Used As Clock  Used As Reset
   ext_gpio_dir_pad[0]       OUT        GPIO_N0_BYTE1_BIT_0   GPIO_N0_BYTE1_BIT_0   BANK_GPIO_N0_BYTE1  AF16  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_1__u_gpio_phy_iob.gen_data_pad_0__gen_msio_horizontal_data_pad_u_msio_data_pad  P              No                  No                  Yes                No             No           
   ext_gpio_dir_pad[1]       OUT        GPIO_N0_BYTE1_BIT_1   GPIO_N0_BYTE1_BIT_1   BANK_GPIO_N0_BYTE1  AG17  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_1__u_gpio_phy_iob.gen_data_pad_1__gen_msio_horizontal_data_pad_u_msio_data_pad  N              No                  No                  Yes                No             No           
   ext_gpio_dir_pad[2]       OUT        GPIO_N0_BYTE1_BIT_2   GPIO_N0_BYTE1_BIT_2   BANK_GPIO_N0_BYTE1  AG16  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_1__u_gpio_phy_iob.gen_data_pad_2__gen_msio_horizontal_data_pad_u_msio_data_pad  P              No                  No                  Yes                No             No           
   ext_gpio_dir_pad[3]       OUT        GPIO_N0_BYTE1_BIT_3   GPIO_N0_BYTE1_BIT_3   BANK_GPIO_N0_BYTE1  AH17  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_1__u_gpio_phy_iob.gen_data_pad_3__gen_msio_horizontal_data_pad_u_msio_data_pad  N              No                  No                  Yes                No             No           
   ext_gpio_dir_pad[4]       OUT        GPIO_N0_BYTE1_BIT_6   GPIO_N0_BYTE1_BIT_6   BANK_GPIO_N0_BYTE1  AJ16  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_1__u_gpio_phy_iob.gen_data_pad_6__gen_msio_horizontal_data_pad_u_msio_data_pad  P              No                  No                  Yes                No             No           
   ext_gpio_dir_pad[5]       OUT        GPIO_N0_BYTE1_BIT_7   GPIO_N0_BYTE1_BIT_7   BANK_GPIO_N0_BYTE1  AK17  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_1__u_gpio_phy_iob.gen_data_pad_7__gen_msio_horizontal_data_pad_u_msio_data_pad  N              No                  No                  Yes                No             No           
   ext_gpio_dir_pad[6]       OUT        GPIO_N0_BYTE1_BIT_8   GPIO_N0_BYTE1_BIT_8   BANK_GPIO_N0_BYTE1  AL16  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_1__u_gpio_phy_iob.gen_data_pad_8__gen_msio_horizontal_data_pad_u_msio_data_pad  P              No                  No                  Yes                No             No           
   ext_gpio_dir_pad[7]       OUT        GPIO_N0_BYTE1_BIT_9   GPIO_N0_BYTE1_BIT_9   BANK_GPIO_N0_BYTE1  AM16  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_1__u_gpio_phy_iob.gen_data_pad_9__gen_msio_horizontal_data_pad_u_msio_data_pad  N              No                  No                  Yes                No             No           
   ext_gpio_fpga_pad[0]      INOUT      GPIO_N0_BYTE0_BIT_0   GPIO_N0_BYTE0_BIT_0   BANK_GPIO_N0_BYTE0  W17   u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_0__u_gpio_phy_iob.gen_data_pad_0__gen_msio_horizontal_data_pad_u_msio_data_pad  P              No                  No                  Yes                No             No           
   ext_gpio_fpga_pad[1]      INOUT      GPIO_N0_BYTE0_BIT_1   GPIO_N0_BYTE0_BIT_1   BANK_GPIO_N0_BYTE0  W16   u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_0__u_gpio_phy_iob.gen_data_pad_1__gen_msio_horizontal_data_pad_u_msio_data_pad  N              No                  No                  Yes                No             No           
   ext_gpio_fpga_pad[2]      INOUT      GPIO_N0_BYTE0_BIT_2   GPIO_N0_BYTE0_BIT_2   BANK_GPIO_N0_BYTE0  Y17   u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_0__u_gpio_phy_iob.gen_data_pad_2__gen_msio_horizontal_data_pad_u_msio_data_pad  P              No                  No                  Yes                No             No           
   ext_gpio_fpga_pad[3]      INOUT      GPIO_N0_BYTE0_BIT_3   GPIO_N0_BYTE0_BIT_3   BANK_GPIO_N0_BYTE0  Y16   u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_0__u_gpio_phy_iob.gen_data_pad_3__gen_msio_horizontal_data_pad_u_msio_data_pad  N              No                  No                  Yes                No             No           
   ext_gpio_fpga_pad[4]      INOUT      GPIO_N0_BYTE0_BIT_6   GPIO_N0_BYTE0_BIT_6   BANK_GPIO_N0_BYTE0  AB17  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_0__u_gpio_phy_iob.gen_data_pad_6__gen_msio_horizontal_data_pad_u_msio_data_pad  P              No                  No                  Yes                No             No           
   ext_gpio_fpga_pad[5]      INOUT      GPIO_N0_BYTE0_BIT_7   GPIO_N0_BYTE0_BIT_7   BANK_GPIO_N0_BYTE0  AC16  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_0__u_gpio_phy_iob.gen_data_pad_7__gen_msio_horizontal_data_pad_u_msio_data_pad  N              No                  No                  Yes                No             No           
   ext_gpio_fpga_pad[6]      INOUT      GPIO_N0_BYTE0_BIT_8   GPIO_N0_BYTE0_BIT_8   BANK_GPIO_N0_BYTE0  AD16  u_gpio_phy_v_36_top_n0.u_gpio_phy_top.gen_iob_0__u_gpio_phy_iob.gen_data_pad_8__gen_msio_horizontal_data_pad_u_msio_data_pad  P              No                  No                  Yes                No             No           
